scope,plan_fiscal_year,metric,value,numerator,denominator,sample_size,definition
all_hospitals,all_historical,cycles_with_insufficient_data,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,all_historical,target_calculable_cycles,0,0,0,0,Primary ED analysis-eligible cycles only
all_hospitals,all_historical,analysis_eligible_cycles,0,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,cycles_containing_multiple_interventions,913,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,cycles_with_implementation_conflicts,6,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,cycles_with_mixed_implementation,209,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,interventions,3428,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,interventions_classified_other,1171,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,interventions_with_implementation_conflicts,7,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,workplan_rows_in_matched_cycles,2234,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,progress_rows_in_matched_cycles,2324,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,exact_idea_matched_workplan_rows,2243,,,,Included source records; test exclusions applied; coverage diagnostic
all_hospitals,all_historical,workplan_cycle_match_rate_pct,62.84513805522209,1047,1666,1666,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,all_historical,progress_cycle_match_rate_pct,99.3358633776091,1047,1054,1054,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,all_historical,workplan_row_cycle_match_rate_pct,65.13119533527697,2234,3430,3430,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,all_historical,exact_idea_workplan_row_coverage_pct,65.3935860058309,2243,3430,3430,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
all_hospitals,all_historical,other_pct,34.15985997666278,1171,3428,3428,Accepted matches exclude ambiguity; exact idea coverage is a candidate diagnostic
ed_access_flow,2024/25,workplan_rows,118,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,2024/25,progress_rows,9,,,,Included source records; test exclusions applied; coverage diagnostic
ed_access_flow,2024/25,total_cycles,66,,,,Included source records; test exclusions applied; coverage diagnostic
