observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_dc382406ed033be1e62c,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_36,previous,formatted_current_value2,81.30,81.30,numeric
obs_2d68771504ef3d9ba420,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_36,target,formatted_target_value2,84.20,84.20,numeric
obs_abe2c0c0249081f99d18,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_36,current,formatted_progress_value2,85.30,85.30,numeric
obs_1430a874915376999b6f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_37,previous,formatted_current_value2,3.86,3.86,numeric
obs_3e5883fc195682aaf84e,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_37,target,formatted_target_value2,3.80,3.80,numeric
obs_8f48a2e3e0c7b01c3aa5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_37,current,formatted_progress_value2,3.76,3.76,numeric
obs_6dda9ecb62a1aa66a878,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_38,previous,formatted_current_value2,22.20,22.20,numeric
obs_5428a374440278312c30,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_38,target,formatted_target_value2,20.00,20.00,numeric
obs_79c31c65a82df9a08dc6,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_38,current,formatted_progress_value2,12.13,12.13,numeric
obs_ed130bb5faa838cb0f66,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_39,previous,formatted_current_value2,22.20,22.20,numeric
obs_9e2dd9c10bf3b11837fa,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_39,target,formatted_target_value2,20.00,20.00,numeric
obs_28695778744be4bf309d,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_39,current,formatted_progress_value2,12.13,12.13,numeric
obs_e4de8a3d05300c3eeefc,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_40,previous,formatted_current_value2,22.20,22.20,numeric
obs_fa67e8d85a865857e03f,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_40,target,formatted_target_value2,20.00,20.00,numeric
obs_3a9ce30b7a55aa6b7ab9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_40,current,formatted_progress_value2,12.13,12.13,numeric
obs_581a9210302073565ec3,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_41,previous,formatted_current_value2,49.50,49.50,numeric
obs_258c5cf4915019e202bc,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_41,target,formatted_target_value2,60.00,60.00,numeric
obs_9b7e06d47638e367173e,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_41,current,formatted_progress_value2,60.29,60.29,numeric
obs_2fc119a89c9614456cb9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_42,previous,formatted_current_value2,49.50,49.50,numeric
obs_3ef50321d68f4d0836ef,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_42,target,formatted_target_value2,60.00,60.00,numeric
obs_ed590f541967d8802070,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_42,current,formatted_progress_value2,60.29,60.29,numeric
obs_f1e189b60f53f383db21,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_43,previous,formatted_current_value2,CB,,CB
obs_9f37ff497e1956942441,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_43,target,formatted_target_value2,75.00,75.00,numeric
obs_2dc80c433a383c068494,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_43,current,formatted_progress_value2,93.30,93.30,numeric
