source_record_id,entity_type,entity_id,parent_id,source_role
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_644,intervention,intervention_40e2ab34286fe0274e5d,cycle_4988e3fc79569a985c61,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_639,intervention,intervention_0c4aeed32b9300b9dba8,cycle_d38dd53f302dadee8845,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_705,current_workplan,current_4353cb55b536f3d89f7b,current_group_f1c503ee2e1df9f5daf3,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_574,intervention,intervention_68697c262537ec105830,cycle_12455874b439cea8a6b1,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_573,intervention,intervention_950ede8cdf7284f37ee6,cycle_12455874b439cea8a6b1,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_575,intervention,intervention_fe7641e876a288369505,cycle_12455874b439cea8a6b1,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_645,intervention,intervention_a8c343f024c19f05f5f8,cycle_8f0dbbd83215de99a2d8,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_701,current_workplan,current_b7c7f93ff1c8b14dd136,current_group_030b9089aa62a17e659e,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_570,intervention,intervention_459670bb62937fe773fe,cycle_c14addacf39cb28ab559,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_638,intervention,intervention_18262dd1d42174296063,cycle_8a1a377ac65aa74db117,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_697,current_workplan,current_cc19cbdf6065c2d35fa1,current_group_e236fd924957ace45e88,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_567,intervention,intervention_040739211986c83a3b66,cycle_cf9a559c0f2a968772ae,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_652,intervention,intervention_d8ec515eb4fcce68e86f,cycle_ad930ccf3f2a94ba68a3,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_704,current_workplan,current_97ac847c6b3f12aa69f0,current_group_bdd299f229d75efb09a4,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_640,intervention,intervention_11ac55b612be8d861530,cycle_65c5ae4af191e586861e,workplan
file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_445,intervention,intervention_11ac55b612be8d861530,cycle_65c5ae4af191e586861e,progress
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_706,current_workplan,current_efcebc88b8c51204e10f,current_group_c366071078fc58b4c794,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_565,intervention,intervention_ec4e69625971f1b3cdcc,cycle_bb8317a10c33f03b0a22,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_635,intervention,intervention_19a8f9b2560f8956948e,cycle_c1d13bbd0852862fc3c4,workplan
file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_444,intervention,intervention_19a8f9b2560f8956948e,cycle_c1d13bbd0852862fc3c4,progress
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_694,current_workplan,current_e5a6cadb7d0c103e4ba1,current_group_56a5f94c25bcd866a3b2,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_566,intervention,intervention_1aec643f397407bd8306,cycle_53d5bbff8ec93e6ab67a,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_636,intervention,intervention_3a73ee8e1f495dddc841,cycle_13e31dfcea92fb34656a,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_695,current_workplan,current_e14999ee5dfed3257b76,current_group_30073989f4e97b7592c8,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_642,intervention,intervention_8749e04493598dea2229,cycle_a3a5563284495b184243,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_699,current_workplan,current_8d39b645a3eb68b49f24,current_group_e84a190ff57b1a06fa9b,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_556,intervention,intervention_41e4fdf597743e4ab9bb,cycle_b3554150a64341c82666,workplan
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_555,intervention,intervention_dc4947f0012f1099ccb9,cycle_b3554150a64341c82666,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_623,intervention,intervention_64aa3e2cff59b2a5eb91,cycle_be6ce5dde7705cde051e,workplan
file_fd960952b94a17c6133039e5515cdb29b133b2905b36909786e69941eb196f09:record_686,current_workplan,current_d577f9d6696ca56b4b0c,current_group_22516c4cb2f8f043e415,workplan
file_161ce5fbf507dd667d6dc24dad51011bd988de49fcb53fc2805a29335914ff7f:record_619,intervention,intervention_b61d2d32e418460fad3c,cycle_45e65ad78f526f6dd2ff,workplan
file_6e6459eb666246e5c840b4d605cf5548dd9d9493406d8ba5673cd77e4809033c:record_617,intervention,intervention_b61d2d32e418460fad3c,cycle_45e65ad78f526f6dd2ff,progress
file_9772e4124db9000923df7ee0723b6c5954285930dee8a3dad72efbcf089e68be:record_559,intervention,intervention_09c1495550dd4634c1f8,cycle_69cef16156299dcbef09,workplan
file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_543,intervention,intervention_09c1495550dd4634c1f8,cycle_69cef16156299dcbef09,progress
